Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6,58K,1h 58m,Animation
Moana 2,6.6,98K,1h 40m,Animation
Flow,7.9,70K,1h 25m,Animation
The Wild Robot,8.2,158K,1h 42m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,3.7K,1h 31m,Animation
Solo Leveling: ReAwakening,8.9,11K,2h 1m,Animation
Despicable Me 4,6.2,64K,1h 34m,Animation
Transformers One,7.6,49K,1h 44m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,30K,2h 14m,Animation
Inside Out 2,7.5,215K,1h 36m,Animation
IF,6.4,58K,1h 44m,Animation
Memoir of a Snail,7.8,16K,1h 35m,Animation
Kung Fu Panda 4,6.3,67K,1h 34m,Animation
Spermageddon,5.8,755,1h 20m,Animation
Attack on Titan the Movie: The Last Attack,9.2,15K,2h 25m,Animation
The Garfield Movie,5.7,24K,1h 41m,Animation
Spellbound,5.6,7.2K,1h 49m,Animation
Harold and the Purple Crayon,5.7,8.2K,1h 30m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,34K,1h 22m,Animation
Night of the Zoopocalypse,6.2,505,1h 31m,Animation
Watchmen: Chapter I,7.0,6.4K,1h 23m,Animation
Look Back,7.8,14K,58m,Animation
Piece by Piece,6.9,5.3K,1h 33m,Animation
Watchmen: Chapter II,7.0,2.9K,1h 30m,Animation
The Remarkable Life of Ibelin,8.2,12K,1h 43m,Animation
Hitpig,5.1,907,1h 26m,Animation
Thelma the Unicorn,5.7,2.9K,1h 33m,Animation
Megamind vs. The Doom Syndicate,2.5,5.5K,1h 23m,Animation
Orion and the Dark,6.3,17K,1h 33m,Animation
Dongeng Sang Kancil,6.8,154,1h 39m,Animation
The Most Precious of Cargoes,7.1,853,1h 21m,Animation
The Glassworker,7.4,1.7K,1h 38m,Animation
Overlord: The Sacred Kingdom,6.9,884,2h 15m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2,8.4K,1h 33m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1,4.4K,1h 34m,Animation
Grand Theft Hamlet,6.9,1.8K,1h 29m,Animation
The Colors Within,7.1,920,1h 41m,Animation
Buffalo Kids,6.6,667,1h 33m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3.8K,1h 22m,Animation
Ultraman: Rising,6.9,6.3K,1h 57m,Animation
My Hero Academia: You're Next,7.0,2K,1h 50m,Animation
That Christmas,6.8,17K,1h 31m,Animation
Dan Da Dan: First Encounter,8.2,2.7K,1h 23m,Animation
200% Wolf,5.9,1.3K,1h 38m,Animation
Limonov: The Ballad of Eddie,6.0,772,2h 18m,Animation
Woody Woodpecker Goes to Camp,4.5,2.5K,1h 40m,Animation
The Tiger's Apprentice,5.7,2.2K,1h 24m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5,5.3K,1h 34m,Animation
White Snake: Afloat,6.9,462,2h 13m,Animation
Mononoke the Movie: The Phantom in the Rain,6.8,1.2K,1h 29m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6,1.5K,1h 55m,Animation
Dragonkeeper,5.7,1.6K,1h 38m,Animation
Savages,6.8,322,1h 27m,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7,1.1K,1h 30m,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.4,334,1h 46m,Animation
Mars,8.9,21,1h 24m,Animation
Given 3: To the Sea,8.8,35,1h 20m,Animation
Haikyu!! The Dumpster Battle,7.7,6.1K,1h 25m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8.4K,1h 44m,Animation
Frida,7.5,1.5K,1h 27m,Animation
The Night Before Christmas in Wonderland,6.3,511,1h 20m,Animation
Johnny Puff: Secret Mission,4.8,443,1h 27m,Animation
No Time to Spy: A Loud House Movie,6.4,443,1h 21m,Animation
Movie Given Hiiragi Mix.,7.4,157,1h 10m,Animation
A Sloth Story,5.6,203,1h 30m,Animation
Lesbian Space Princess,7.5,110,1h 27m,Animation
Diplodocus,6.3,171,1h 30m,Animation
Blue Lock: Episode Nagi,6.6,2.5K,1h 31m,Animation
10 Lives,5.9,1.9K,1h 28m,Animation
My Oni Girl,6.0,1.7K,1h 52m,Animation
The Lost Tiger,7.8,44,1h 30m,Animation
From Ground Zero,8.0,522,1h 52m,Animation
Noah's Ark,4.3,641,1h 36m,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8,681,1h 20m,Animation
Gracie and Pedro: Pets to the Rescue,5.1,265,1h 27m,Animation
Exorcism Chronicles: The Beginning,7.2,96,1h 25m,Animation
Super-Charlie,5.8,112,1h 20m,Animation
Rebellious,6.0,186,1h 34m,Animation
,,,,Animation
Dalia y el Libro Rojo,6.4,78,1h 47m,Animation
Boys Go to Jupiter,6.8,94,1h 30m,Animation
Ghost Cat Anzu,6.5,752,1h 37m,Animation
Detective Conan: The Million-Dollar Pentagram,6.7,1.4K,1h 51m,Animation
I Am What I Am 2,7.5,199,2h 14m,Animation
Jon Vardar protiv Galaksijata,8.4,68,1h 26m,Animation
My Freaky Family,6.3,398,1h 26m,Animation
Storm Crashers,6.2,558,1h 28m,Animation
Baki Hanma VS Kengan Ashura,5.7,1.9K,1h 2m,Animation
The Casagrandes Movie,5.6,663,1h 29m,Animation
,,,,Animation
Heartsping : Teenieping of Love,7.0,23,TV-Y,Animation
"Robotia, the Movie",7.6,26,1h 26m,Animation
,,,,Animation
Mobile Suit Gundam SEED Freedom,6.6,944,2h 4m,Animation
The Proud Princess,7.1,108,1h 24m,Animation
Bocchi the Rock! Re:,7.6,155,1h 30m,Animation
Sabbath Queen,8.0,62,1h 45m,Animation
Mustafa,6.9,72,1h 15m,Animation
Trapezium,6.4,145,1h 42m,Animation
Kvitebjørn,5.8,56,1h 25m,Animation
Niko: Beyond the Northern Lights,6.2,325,1h 26m,Animation
SuperKlaus,4.3,201,1h 28m,Animation
Sanatorium Under the Sign of the Hourglass,5.3,107,1h 15m,Animation
The Quintessential Quintuplets Specials 2,7.0,121,46m,Animation
Shrek 5: The Contract - A Fan Made Film,7.0,19,1h 24m,Animation
Fox & Hare Save the Forest,5.9,198,1h 11m,Animation
(S)KiDS,9.8,72,1h 25m,Animation
Dead Dead Demon's Dededede Destruction,7.0,143,2h,Animation
Kizumonogatari: Koyomi Vamp,7.0,87,2h 24m,Animation
Big City Greens the Movie: Spacecation,6.2,538,1h 23m,Animation
Si Juki the Movie: Harta Pulau Monyet,6.0,115,1h 47m,Animation
"Maya, donne-moi un titre",6.4,50,1h 1m,Animation
Little Emma,5.7,108,1h 46m,Animation
Slocum et moi,7.4,72,1h 15m,Animation
Panda Bear in Africa,5.5,320,1h 24m,Animation
Elli and the Ghostly Ghost Train,5.0,95,1h 26m,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.3,116,1h 48m,Animation
,,,,Animation
,,,,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,17,1h 30m,Animation
Boonie Bears: Time Twist,6.0,164,1h 45m,Animation
The Worlds Divide,8.0,38,2h,Animation
,,,,Animation
,,,,Animation
Rock Bottom,7.0,41,1h 26m,Animation
Bocchi the Rock! Re: Re:,8.0,97,1h 17m,Animation
Dragon Ball Z Kai,8.4,68,1h 22m,Animation
Captain Avispa,5.8,173,1h 36m,Animation
Luntik. Vozvrashchenie domoy,6.4,74,TV-Y,Animation
Mariposas Negras,7.1,49,1h 23m,Animation
PAPmusic - Animation for Fashion,1.0,134,1h 25m,Animation
Transformers Prime: Galavatron's Revenge,3.4,8,1h 44m,Animation
Living Large,7.7,109,1h 20m,Animation
Fureru,6.0,25,1h 47m,Animation
Masha i Medved v kino: Park chudes,7.6,17,58m,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.4,38,1h 22m,Animation
Steal the Naughty List,6.5,117,1h 30m,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4,83,1h 16m,Animation
Schirkoa: In Lies We Trust,5.6,158,1h 43m,Animation
Tay 2: Ebabil Takimi,5.3,37,1h 18m,Animation
Yumi's Cells: The Movie,6.2,49,1h 33m,Animation
The Storm,6.0,139,1h 42m,Animation
Olivia & the Clouds,7.3,47,1h 21m,Animation
Peppa's Cinema Party,5.1,153,1h 5m,Animation
Il segreto di Liberato,7.3,217,1h 30m,Animation
Woolina and the No Birds,8.6,42,1h 20m,Animation
Rafadan Tayfa: Kapadokya,6.7,118,1h 24m,Animation
Tri kota. Zimnie kanikuly,6.5,29,1h 5m,Animation
Nie Xiaoqian,6.4,16,1h 52m,Animation
The Big Trip 3: Race Around the World,5.7,55,1h 25m,Animation
Angelo dans la forêt mystérieuse,6.0,120,1h 21m,Animation
Nature Cat's Nature Movie Special Extraordinaire,7.3,18,53m,Animation
Quo Vadis,6.6,332,1h 30m,Animation
,,,,Animation
,,,,Animation
A Few Moments of Cheers,7.4,31,1h 8m,Animation
Pui Pui Molcar the Movie: Molmax,7.0,9,1h 9m,Animation
Benjamin Bat,8.1,28,1h 15m,Animation
Le parfum d'Irak,8.1,41,1h 35m,Animation
,,,,Animation
Double Tuckerr,5.0,1.2K,2h,Animation
Hola Frida,7.2,27,1h 22m,Animation
Askepote,3.5,80,1h 12m,Animation
TWST: Things We Said Today,7.0,44,1h 26m,Animation
,,,,Animation
Nothing Unusual,9.7,12,1h 32m,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,32,1h 11m,Animation
Out of the Nest,6.5,108,1h 24m,Animation
Zak & Wowo: The Legend of Lendarys,5.7,95,1h 25m,Animation
,,,,Animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.1,159,1h 21m,Animation
,,,,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,72,1h 10m,Animation
Norbert,6.6,11,1h 15m,Animation
Abá e Sua Banda,7.9,7,1h 24m,Animation
,,,,Animation
Kuramerukagari,5.8,80,1h 1m,Animation
"Silex and the City, le film",4.9,50,1h 17m,Animation
Into the Mortal World,6.8,147,1h 58m,Animation
,,,,Animation
Dikkie Dik en de Verdwenen Knuffel,7.2,129,1h 2m,Animation
,,,,Animation
,,,,Animation
Transformers: 40th Anniversary Event,7.2,28,1h 36m,Animation
Appu,8.6,181,1h 32m,Animation
Riki Rhino: The Bird Kingdom,4.8,23,1h 49m,Animation
Motu Patlu & The Race to the Diamond Valley,7.8,27,1h 12m,Animation
Tri bogatyrya. Ni dnya bez podviga,5.7,64,1h 1m,Animation
The Greatest Surf Movie in the Universe,5.4,8,1h 21m,Animation
Code Geass: Rozé of the Recapture - Part 1,7.7,41,1h 14m,Animation
,,,,Animation
Rocket Club: Across the Cosmos,8.4,19,1h 8m,Animation
Mobile Suit Gundam: Silver Phantom,6.1,13,1h 30m,Animation
Hello My Beautiful Creatures,6.8,170,2h 22m,Animation
Uma & Haggen: Mitos,7.5,46,1h 34m,Animation
Dead Dead Demon's Dededede Destruction Zenpen,7.1,138,2h,Animation
,,,,Animation
Gujeyeog-eseo sal-a dol-aon dwaeji,5.2,5,1h 45m,Animation
Rocky and Bullwinkle,9.1,12,1h 40m,Animation
,,,,Animation
