Title,Rating,Votes,Duration,Genre
Anora,7.5,175K,2h 19m,Romance
Wicked,7.5,153K,2h 40m,Romance
Babygirl,5.9,51K,1h 54m,Romance
Queer,6.4,20K,2h 17m,Romance
It Ends with Us,6.4,84K,2h 10m,Romance
Mon Potongo,6.9,297,2h 29m,Romance
We Live in Time,7.0,50K,1h 48m,Romance
The Fall Guy,6.8,219K,2h 6m,Romance
The Count of Monte-Cristo,7.6,33K,2h 58m,Romance
Ask Me What You Want,3.7,557,1h 54m,Romance
Challengers,7.0,153K,2h 11m,Romance
The Crow,4.7,34K,1h 51m,Romance
The Idea of You,6.3,73K,1h 55m,Romance
My Old Ass,6.9,38K,1h 29m,Romance
,,,,Romance
A Nice Indian Boy,7.9,325,1h 36m,Romance
Fly Me to the Moon,6.6,49K,2h 12m,Romance
Love Lies Bleeding,6.6,56K,1h 44m,Romance
F*** Marry Kill,5.3,2.3K,1h 37m,Romance
Chosen Family,4.7,360,1h 28m,Romance
A Family Affair,5.4,36K,1h 51m,Romance
All We Imagine as Light,7.1,9.4K,1h 58m,Romance
Upgraded,6.1,29K,1h 44m,Romance
Beating Hearts,7.0,4.5K,2h 46m,Romance
Emmanuelle,4.2,1.5K,1h 47m,Romance
La cocina,7.2,2.7K,2h 19m,Romance
Culpa Tuya,5.2,13K,1h 58m,Romance
Die Alone,5.7,2.8K,1h 31m,Romance
Someone Like You,5.8,2.1K,1h 58m,Romance
Young Woman and the Sea,7.5,17K,2h 9m,Romance
Killer Heat,5.6,13K,1h 35m,Romance
Loveable,7.9,1.6K,1h 41m,Romance
Sidelined: The QB and Me,5.9,3.6K,1h 39m,Romance
Your Monster,6.4,5.7K,1h 43m,Romance
Lonely Planet,5.7,11K,1h 34m,Romance
Darkest Miriam,6.8,55,1h 27m,Romance
Teri Baaton Mein Aisa Uljha Jiya,6.2,54K,2h 21m,Romance
Lilies Not for Me,7.8,106,1h 39m,Romance
Lisa Frankenstein,6.1,28K,1h 41m,Romance
Love Me,5.1,2.4K,1h 31m,Romance
Girl Haunts Boy,6.3,2.9K,1h 40m,Romance
Mother of the Bride,4.8,17K,1h 28m,Romance
Winter Spring Summer or Fall,7.0,486,1h 37m,Romance
The Tearsmith,5.2,12K,1h 43m,Romance
Grafted,5.6,2.2K,1h 36m,Romance
Our Little Secret,5.7,23K,1h 41m,Romance
Guilty Pleasure,5.9,113,1h 59m,Romance
Grand Tour,6.6,1.5K,2h 8m,Romance
Turn Me On,5.6,504,1h 39m,Romance
Touch,7.4,5.3K,2h 1m,Romance
Lick,6.3,774,1h 15m,Romance
The Greatest Hits,6.2,7.3K,1h 34m,Romance
Through My Window: Looking at You,5.4,5.2K,1h 45m,Romance
Girls Will Be Girls,7.1,2.4K,1h 58m,Romance
Gelin Takimi,3.2,2.5K,1h 49m,Romance
Irish Wish,5.2,21K,1h 33m,Romance
Find Me Falling,6.3,13K,1h 33m,Romance
Beautiful Wedding,4.1,4.1K,1h 40m,Romance
The Best Christmas Pageant Ever,6.8,6.1K,1h 39m,Romance
Turtles All the Way Down,6.6,6.9K,1h 51m,Romance
The Glassworker,7.4,1.7K,1h 38m,Romance
This Is Me... Now,4.1,7.1K,1h 5m,Romance
Hot Frosty,5.3,15K,1h 32m,Romance
Role Play,5.5,19K,1h 40m,Romance
My Favourite Cake,7.4,7.1K,1h 37m,Romance
Vulgar,5.5,126,1h 43m,Romance
The Dead Thing,4.7,886,1h 34m,Romance
Players,5.7,12K,1h 45m,Romance
Wallbanger,5.6,659,1h 58m,Romance
High Tide,6.6,549,1h 41m,Romance
Sex,6.6,968,2h 5m,Romance
Boot Camp,5.8,1.1K,1h 34m,Romance
Swap,2.9,341,1h 26m,Romance
This Time Next Year,5.6,2.2K,1h 56m,Romance
A True Gentleman,4.5,2.1K,1h 50m,Romance
Love in the Big City,7.5,1.4K,1h 58m,Romance
We're All Gonna Die,8.2,91,1h 50m,Romance
The Merry Gentlemen,4.8,10K,1h 27m,Romance
Pedro Páramo,6.3,2.9K,2h 10m,Romance
Jane Austen Wrecked My Life,6.4,172,1h 34m,Romance
Timestalker,5.5,2.9K,1h 29m,Romance
How to Date Billy Walsh,5.2,3.9K,1h 38m,Romance
Cinderella's Curse,3.3,1.3K,1h 22m,Romance
Romance on the Ranch,6.8,311,1h 28m,Romance
Pure Love,7.2,145,1h 49m,Romance
Cinderella's Revenge,3.7,1.1K,1h 25m,Romance
Marmalade,6.3,3.5K,1h 39m,Romance
The Astronaut Lovers,7.0,610,1h 56m,Romance
Ashes,4.3,2.6K,1h 40m,Romance
Take My Hand,6.3,301,1h 42m,Romance
Uranus 2324,6.5,4.8K,2h 10m,Romance
Dandelion,5.3,399,1h 53m,Romance
Samana Sunrise,5.2,148,1h 40m,Romance
Premalu,7.8,19K,2h 36m,Romance
City Hunter,6.3,5.6K,1h 42m,Romance
White Snake: Afloat,6.9,462,2h 13m,Romance
Books & Drinks,6.3,94,1h 34m,Romance
Gone Running,7.1,4K,1h 45m,Romance
Hear Me: Our Summer,7.5,653,1h 49m,Romance
"Love, Divided",6.0,4.6K,1h 38m,Romance
Three Friends,6.5,677,1h 57m,Romance
Freedom,5.9,1.4K,1h 50m,Romance
Five Blind Dates,5.1,1.9K,1h 23m,Romance
Música,6.4,5K,1h 31m,Romance
Private Tutor,4.9,189,1h 5m,Romance
5lbs of Pressure,5.3,1.6K,1h 51m,Romance
Bonjour Tristesse,6.0,87,1h 50m,Romance
Amar Singh Chamkila,7.8,16K,2h 25m,Romance
Another End,6.4,719,2h 9m,Romance
Plan B,5.9,1.1K,1h 30m,Romance
Murder Mubarak,5.8,51K,2h 20m,Romance
Eks,4.5,189,2h 1m,Romance
Meet Me Next Christmas,5.7,8.5K,1h 45m,Romance
Layla,6.1,380,1h 40m,Romance
Given 3: To the Sea,8.8,35,1h 20m,Romance
The Air He Breathes,6.4,370,1h 46m,Romance
Young Werther,5.6,218,1h 41m,Romance
Love Switch,6.0,235,1h 29m,Romance
,,,,Romance
The Groomsmen: First Look,6.1,384,1h 22m,Romance
Haunted Heart,4.8,470,2h 8m,Romance
You Are the Apple of My Eye,7.6,3.4K,1h 41m,Romance
Love,7.3,299,1h 59m,Romance
Do Aur Do Pyaar,6.4,12K,2h 20m,Romance
Still Fabulous,4.9,855,1h 32m,Romance
Savi,6.2,35K,2h 6m,Romance
O Melhor Amigo,7.1,59,1h 36m,Romance
Futra Days,4.1,140,1h 39m,Romance
The Family Star,5.4,5.4K,2h 39m,Romance
Perfect Endings,5.6,191,1h 40m,Romance
Movie Given Hiiragi Mix.,7.4,157,1h 10m,Romance
The Groomsmen: Second Chances,6.1,430,1h 24m,Romance
Daniela Forever,6.3,203,1h 53m,Romance
Ajosepo,8.7,54,2h 14m,Romance
My Name Is Loh Kiwan,6.7,4.3K,2h 11m,Romance
Mr. Manhattan,6.7,440,1h 50m,Romance
Passport to Love,6.2,399,1h 28m,Romance
The Southern Chronicles,8.8,2.5K,2h,Romance
Lesbian Space Princess,7.5,110,1h 27m,Romance
Seré breve al momento de morir,5.9,22,1h 18m,Romance
Previously Saved Version,5.5,418,1h 57m,Romance
Her Story,7.6,1.8K,2h 3m,Romance
Duino,7.6,115,1h 48m,Romance
Two to One,6.1,718,1h 56m,Romance
Qalb,6.6,2.3K,2h 27m,Romance
,,,,Romance
Why Do You?,5.3,417,1h 43m,Romance
Drained,4.6,309,1h 47m,Romance
El Hawa Sultan,6.6,690,2h 16m,Romance
Intoxicated by Love,8.5,13K,1h 58m,Romance
,,,,Romance
Undergrads,5.5,50,1h 6m,Romance
Art of Love,4.6,2.4K,1h 39m,Romance
"Hello, Love, Again",6.8,829,2h 2m,Romance
Ipar Adalah Maut,7.0,1.2K,2h 11m,Romance
Wild Wild Punjab,6.2,15K,1h 49m,Romance
18×2 Beyond Youthful Days,7.3,1.8K,2h 3m,Romance
From Contract Lover to the Billionaire's Bride,7.0,510,1h 24m,Romance
Black Tea,5.1,539,1h 50m,Romance
Breakup Season,5.8,305,1h 42m,Romance
Good Bad Things,5.7,193,1h 36m,Romance
"María, Me Muero",5.6,89,1h 33m,Romance
Wanted: Girlfriend,4.3,217,49m,Romance
Beauty and the Billionaire: Bali,5.8,198,1h 31m,Romance
Bad Newz,4.7,26K,2h 22m,Romance
The Silence of Marcos Tremmer,5.9,151,1h 52m,Romance
,,,,Romance
Goyo,6.6,2.2K,1h 46m,Romance
Bau: Artist at War,7.0,55,2h 10m,Romance
