Title,Rating,Votes,Duration,Genre
Anora,7.5,175K,2h 19m,Comedy
Moana 2,6.6,98K,1h 40m,Comedy
A Real Pain,7.1,85K,1h 30m,Comedy
Sonic the Hedgehog 3,6.9,57K,1h 50m,Comedy
Y2K,4.8,12K,1h 31m,Comedy
Deadpool & Wolverine,7.6,487K,2h 8m,Comedy
The Ministry of Ungentlemanly Warfare,6.8,134K,2h 2m,Comedy
Freaky Tales,7.2,813,1h 46m,Comedy
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,3.7K,1h 31m,Comedy
Riff Raff,5.7,2.7K,1h 43m,Comedy
Fight or Flight,6.4,5.9K,1h 37m,Comedy
Emilia Pérez,5.4,87K,2h 12m,Comedy
Borderlands,4.7,47K,1h 41m,Comedy
Paddington in Peru,6.7,19K,1h 46m,Comedy
Sacramento,5.7,539,1h 29m,Comedy
The Fall Guy,6.8,219K,2h 6m,Comedy
Saturday Night,6.9,30K,1h 49m,Comedy
Beetlejuice Beetlejuice,6.7,146K,1h 45m,Comedy
Despicable Me 4,6.2,64K,1h 34m,Comedy
Challengers,7.0,153K,2h 11m,Comedy
Inside Out 2,7.5,215K,1h 36m,Comedy
Kinds of Kindness,6.5,59K,2h 44m,Comedy
A Different Man,6.9,28K,1h 52m,Comedy
Bad Boys: Ride or Die,6.5,99K,1h 55m,Comedy
The Idea of You,6.3,73K,1h 55m,Comedy
My Old Ass,6.9,38K,1h 29m,Comedy
Argylle,5.6,92K,2h 19m,Comedy
It's What's Inside,6.6,42K,1h 43m,Comedy
Dead Talents Society,7.0,1.7K,1h 51m,Comedy
IF,6.4,58K,1h 44m,Comedy
A Nice Indian Boy,7.9,325,1h 36m,Comedy
Ricky Stanicky,6.2,56K,1h 53m,Comedy
Ghostbusters: Frozen Empire,6.1,93K,1h 55m,Comedy
Red One,6.3,139K,2h 3m,Comedy
Fly Me to the Moon,6.6,49K,2h 12m,Comedy
Friendship,7.4,257,1h 40m,Comedy
Nightbitch,5.5,19K,1h 39m,Comedy
Bob Trevino Likes It,8.0,699,1h 41m,Comedy
The Killer's Game,5.8,17K,1h 44m,Comedy
Snack Shack,7.0,12K,1h 52m,Comedy
My Dead Friend Zoe,6.6,2K,1h 43m,Comedy
Old Guy,5.2,2.2K,1h 34m,Comedy
Kneecap,7.6,17K,1h 45m,Comedy
F*** Marry Kill,5.3,2.3K,1h 37m,Comedy
Miller's Girl,5.2,23K,1h 33m,Comedy
The Union,5.4,53K,1h 47m,Comedy
Kung Fu Panda 4,6.3,67K,1h 34m,Comedy
Chosen Family,4.7,360,1h 28m,Comedy
Mean Girls,5.5,37K,1h 52m,Comedy
